feature,importance
price_roll28,2183
lag_1,1654
lag_7,1397
lag_14,1346
lag_28,1326
days_to_holiday,900
dayofweek,773
week_of_year,751
roll_mean_28,613
week_sin,577
roll_std_28,562
week_cos,533
roll_mean_14,420
roll_std_14,375
dow_sin,340
roll_std_7,334
roll_mean_7,306
dow_cos,222
month,178
month_cos,103
month_sin,90
is_christmas_week,17
