feature,importance
price_roll28,1811
days_to_holiday,1769
lag_1,1432
lag_7,1112
lag_28,1095
lag_14,1080
week_of_year,1080
dayofweek,1052
week_sin,847
week_cos,601
dow_sin,529
roll_std_28,481
roll_mean_28,364
roll_std_14,288
roll_mean_14,287
month,232
dow_cos,212
roll_std_7,207
roll_mean_7,204
month_cos,157
month_sin,92
is_christmas_week,68
